long,lat,name,cbg,cb,down_stream,up_stream
-121.7609562536902,38.56949753369409,['M11-006-1'],061130105102,061130105102000,"[(-121.75960990743786, 38.569570080875664)]",[]
-121.75960990743786,38.569570080875664,['M11-007-1'],061130105102,061130105102000,"[(-121.75871837214213, 38.56956073106718)]","[(-121.7609562536902, 38.56949753369409)]"
-121.75140945665571,38.5700212877623,['M12-039-1'],061130105104,061130105104003,"[(-121.75144843163558, 38.56965620170308)]","[(-121.75026361591448, 38.5702570548028)]"
-121.75670092947149,38.57221670833838,['M12-012-1'],061130105101,061130105101004,"[(-121.75669254667265, 38.57254245666136)]","[(-121.75728499168625, 38.57176934413217)]"
-121.75579801604283,38.57328297247871,['M12-003-1'],061130105101,061130105101004,"[(-121.75667808865957, 38.573292626756945)]",[]
-121.75728499168625,38.57176934413217,['M12-011-1'],061130105101,061130105101004,"[(-121.75670092947149, 38.57221670833838)]",[]
-121.7567428972205,38.57124840367212,['M12-021-1'],061130105104,061130105104001,"[(-121.75583917609082, 38.571075037140965)]",[]
-121.75583917609082,38.571075037140965,['M12-022-1'],061130105104,061130105104001,"[(-121.75452442744786, 38.57107609400533)]","[(-121.7567428972205, 38.57124840367212)]"
-121.75669254667265,38.57254245666136,['M12-010-1'],061130105101,061130105101004,"[(-121.75555249954367, 38.57243533157873)]","[(-121.75667808865957, 38.573292626756945), (-121.75760749959039, 38.57253802755017), (-121.75670092947149, 38.57221670833838)]"
-121.75555249954367,38.57243533157873,['M12-013-1'],061130105104,061130105104001,"[(-121.7550117626317, 38.572269920186294)]","[(-121.75669254667265, 38.57254245666136)]"
-121.75760749959039,38.57253802755017,['M12-009-1'],061130105101,061130105101004,"[(-121.75669254667265, 38.57254245666136)]",[]
-121.75655255483846,38.55299651607853,['P12-006-1'],061130107041,061130107041010,"[(-121.75621937796383, 38.55308929635518)]",[]
-121.75749724973853,38.55377047378415,['P12-001-1'],061130107041,061130107041009,"[(-121.75701684729566, 38.55336708112708)]","[(-121.75750203737915, 38.55417836614205)]"
-121.75621937796383,38.55308929635518,['P12-007-1'],061130107041,061130107041010,"[(-121.75499676977982, 38.553078747287806)]","[(-121.75655255483846, 38.55299651607853)]"
-121.75867032435563,38.554302260975774,['O12-060-1'],061130107032,061130107032006,"[(-121.75861379253122, 38.5556237405759)]","[(-121.75872197714608, 38.55261328523572)]"
-121.75723818548072,38.547529004316765,['P12-103-1'],061130107041,061130107041020,"[(-121.75716116114177, 38.547795750254906)]","[(-121.75712699627005, 38.54742683886297)]"
-121.76112737065061,38.54846052106979,['P11-082-1'],061130107034,061130107034000,"[(-121.75993875078909, 38.54845376959528)]","[(-121.76231236188961, 38.54845027220292)]"
