block_fips,pop2020
61130102011034,17
61130106073005,156
61130114002091,42
61130102031006,49
61130104013010,0
61130107012004,134
61130113011021,30
61130113011046,3
61130104021022,77
61130106111006,203
61130104014031,0
61130102043013,119
61130115004014,16
61130113021002,28
61130113011022,0
61130113031020,198
61130107014013,0
61130115005018,19
61130115005040,7
61130111011022,37
61130111011000,0
61130115005045,0
61130102031008,293
61130107034000,451
61130111032010,89
61130105111003,47
61130106102006,69
61130113041003,47
61130114003069,14
61130112091003,1393
61130101033011,150
61130103103005,183
61130109023016,113
61130114002013,7
61130115002009,9
61130112083118,0
61130105012001,0
61130109013020,36
61130114001088,0
61130105111002,69
61130115002042,0
61130113011040,6
61130113031030,35
61130113023014,34
61130112043007,68
61130109021003,132
61130111021003,180
61130104013003,0
61130102032005,59
61130112083059,0
61130110021012,263
61130109023028,12
61130107041004,65
61130104011028,10
61130112031015,64
61130106111008,41
61130106022000,165
61130115005050,9
61130114001072,22
61130102034031,0
61130112072024,172
61130112091004,49
61130103151015,0
61130101031007,51
61130105092000,16
61130112111006,60
61130104022010,63
61130101021038,0
61130115001047,0
61130105052025,315
61130104012001,174
61130112083011,0
61130115003030,0
61130115002004,3
61130103103002,38
61130114002099,32
61130105091001,62
61130110013027,42
61130101032001,957
61130106052006,68
61130112111010,188
61130112031010,65
61130107032012,46
61130114003063,19
61130106084012,49
61130106025004,123
61130113031024,31
61130113031027,37
61130102011013,0
61130104021013,0
61130111012026,45
61130109013001,69
61130103132016,99
61130111032008,58
61130112091013,283
61130112032006,125
61130115002029,1
61130115003007,122
61130111023006,81
61130107033001,432
61130103132013,261
61130106081001,8
61130114002101,33
61130112083112,20
61130104022001,228
61130111011031,55
61130114002029,5
61130114002032,22
61130102042007,78
61130107013018,0
61130112071020,13
61130106073007,26
61130101021040,0
61130112083047,0
61130114002098,27
61130105053000,24
61130113031023,52
61130106101002,60
61130106092009,63
61130107012010,249
61130112083091,0
61130114003039,22
61130112071007,0
61130109011017,74
61130110021005,100
61130109022016,225
61130106022006,51
61130106102014,0
61130115002032,4
61130109022017,220
61130105111005,48
61130112082025,83
61130112083032,87
61130101021021,16
61130102012016,0
61130105112000,1128
61130103101003,231
61130112072017,0
61130112083071,0
61130115002080,0
61130113011001,15
61130108002010,34
61130110013020,145
61130112082009,61
61130109012007,606
61130103121010,74
61130107012011,114
61130103151006,198
61130115005023,0
61130108003002,0
61130112083074,0
61130101033015,148
61130112083042,0
61130101031008,82
61130106051016,69
61130105091005,623
61130112101008,164
61130105012019,0
61130101043000,201
61130101021041,0
61130112102008,72
61130105051012,38
61130101033002,163
61130115005037,24
61130113031006,24
61130112101001,44
61130103103007,60
61130112083075,0
61130115001014,16
61130101021003,0
61130110013022,0
61130104011076,0
61130104011092,0
61130115002051,6
61130109022018,15
61130112071009,19
61130115004024,38
61130115002097,19
61130108002003,38
61130110022001,64
61130110023020,66
61130105082001,370
61130115001033,0
61130112083089,0
61130107013006,22
61130107014015,22
61130115005056,10
61130108003004,14
61130101021010,0
61130102011007,0
61130102012007,29
61130115001035,55
61130115005006,94
61130114002051,0
61130114002060,0
61130101031004,106
61130114003052,15
61130107041015,38
61130103104002,151
61130110011007,49
61130102011011,18
61130101021024,0
61130114002104,11
61130105081000,492
61130105102002,37
61130112111003,54
61130112092007,39
61130111021007,48
61130110021008,112
61130113012041,0
61130102012009,17
61130102011048,33
61130101051015,0
61130112083063,0
61130102031004,0
